"Name","DisplayName"
"AarSvc_476e025b","Agent Activation Runtime_476e025b"
"ADPSvc","Aggregated Data Platform Service"
"ALG","Application Layer Gateway Service"
"AnyDesk","AnyDesk Service"
"AppIDSvc","Application Identity"
"Appinfo","Application Information"
"AppMgmt","Application Management"
"AppReadiness","App Readiness"
"AppVClient","Microsoft App-V Client"
"AppXSvc","AppX Deployment Service (AppXSVC)"
"ApxSvc","Windows Virtual Audio Device Proxy Service"
"AssignedAccessManagerSvc","AssignedAccessManager Service"
"AudioEndpointBuilder","Windows Audio Endpoint Builder"
"Audiosrv","Windows Audio"
"autotimesvc","Cellular Time"
"AxInstSV","ActiveX Installer (AxInstSV)"
"BcastDVRUserService_476e025b","GameDVR and Broadcast User Service_476e025b"
"BDESVC","BitLocker Drive Encryption Service"
"BFE","Base Filtering Engine"
"BITS","Background Intelligent Transfer Service"
"BluetoothUserService_476e025b","Bluetooth User Support Service_476e025b"
"BrokerInfrastructure","Background Tasks Infrastructure Service"
"BTAGService","Bluetooth Audio Gateway Service"
"BthAvctpSvc","AVCTP service"
"bthserv","Bluetooth Support Service"
"camsvc","Capability Access Manager Service"
"CaptureService_476e025b","CaptureService_476e025b"
"cbdhsvc_476e025b","Clipboard User Service_476e025b"
"CDPSvc","Connected Devices Platform Service"
"CDPUserSvc_476e025b","Connected Devices Platform User Service_476e025b"
"CertPropSvc","Certificate Propagation"
"ClickToRunSvc","Microsoft Office Click-to-Run Service"
"ClipSVC","Client License Service (ClipSVC)"
"CloudBackupRestoreSvc_476e025b","Cloud Backup and Restore Service_476e025b"
"cloudidsvc","Microsoft Cloud Identity Service"
"com.docker.service","Docker Desktop Service"
"COMSysApp","COM+ System Application"
"ConsentUxUserSvc_476e025b","ConsentUX User Service_476e025b"
"CoreMessagingRegistrar","CoreMessaging"
"cplspcon","Intel(R) Content Protection HDCP Service"
"CredentialEnrollmentManagerUserSvc_476e025b","CredentialEnrollmentManagerUserSvc_476e025b"
"CryptSvc","Cryptographic Services"
"CscService","Offline Files"
"DcomLaunch","DCOM Server Process Launcher"
"dcsvc","Declared Configuration(DC) service"
"defragsvc","Optimize drives"
"DellClientManagementService","Dell Client Management Service"
"DellTechHub","Dell TechHub"
"DeviceAssociationBrokerSvc_476e025b","DeviceAssociationBroker_476e025b"
"DeviceAssociationService","Device Association Service"
"DeviceInstall","Device Install Service"
"DevicePickerUserSvc_476e025b","DevicePicker_476e025b"
"DevicesFlowUserSvc_476e025b","DevicesFlow_476e025b"
"DevQueryBroker","DevQuery Background Discovery Broker"
"Dhcp","DHCP Client"
"diagsvc","Diagnostic Execution Service"
"DiagTrack","Connected User Experiences and Telemetry"
"DialogBlockingService","DialogBlockingService"
"DispBrokerDesktopSvc","Display Policy Service"
"DisplayEnhancementService","Display Enhancement Service"
"DmEnrollmentSvc","Device Management Enrollment Service"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"Dnscache","DNS Client"
"DoSvc","Delivery Optimization"
"dot3svc","Wired AutoConfig"
"DPS","Diagnostic Policy Service"
"DsmSvc","Device Setup Manager"
"DsSvc","Data Sharing Service"
"DusmSvc","Data Usage"
"EapHost","Extensible Authentication Protocol"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)"
"EFS","Encrypting File System (EFS)"
"embeddedmode","Embedded Mode"
"EntAppSvc","Enterprise App Management Service"
"EpicGamesUpdater","Epic Games Updater"
"EpicOnlineServices","Epic Online Services"
"esifsvc","Intel(R) Dynamic Tuning service"
"EventLog","Windows Event Log"
"EventSystem","COM+ Event System"
"fdPHost","Function Discovery Provider Host"
"FDResPub","Function Discovery Resource Publication"
"fhsvc","File History Service"
"FileSyncHelper","FileSyncHelper"
"FirmwareUpdaterService","Firmware Updater Service"
"FontCache","Windows Font Cache Service"
"FrameServer","Windows Camera Frame Server"
"FrameServerMonitor","Windows Camera Frame Server Monitor"
"GameInputSvc","GameInput Service"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)"
"GoogleUpdaterInternalService149.0.7814.0","Google Updater Internal Service (GoogleUpdaterInternalService149.0.7814.0)"
"GoogleUpdaterService149.0.7814.0","Google Updater Service (GoogleUpdaterService149.0.7814.0)"
"gpsvc","Group Policy Client"
"GraphicsPerfSvc","GraphicsPerfSvc"
"hidserv","Human Interface Device Service"
"hns","Host Network Service"
"hoststoragesvc","Credential Vault Host Storage"
"hpatchmon","Hotpatch Monitoring Service"
"HvHost","HV Host Service"
"icssvc","Windows Mobile Hotspot Service"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service"
"IKEEXT","IKE and AuthIP IPsec Keying Modules"
"InstallService","Microsoft Store Install Service"
"IntelAudioService","Intel(R) Audio Service"
"IntelGraphicsSoftwareService","Intel? Graphics Software"
"IntelModemAuthenticator","IntelModemAuthenticator"
"InventorySvc","Inventory and Compatibility Appraisal service"
"iphlpsvc","IP Helper"
"IpxlatCfgSvc","IP Translation Configuration Service"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service"
"KeyIso","CNG Key Isolation"
"KtmRm","KtmRm for Distributed Transaction Coordinator"
"LanmanServer","Server"
"LanmanWorkstation","Workstation"
"lfsvc","Geolocation Service"
"LicenseManager","Windows License Manager Service"
"lltdsvc","Link-Layer Topology Discovery Mapper"
"lmhosts","TCP/IP NetBIOS Helper"
"LMS","Intel(R) Management and Security Application Local Management Service"
"LocalKdc","Kerberos Local Key Distribution Center"
"LSM","Local Session Manager"
"LxpSvc","Language Experience Service"
"MapsBroker","Downloaded Maps Manager"
"McmSvc","Mobile Connectivity Management Service"
"McpManagementService","McpManagementService"
"MDCoreSvc","Microsoft Defender Core Service"
"MessagingService_476e025b","MessagingService_476e025b"
"MicrosoftCopilotElevationService","Microsoft Copilot Elevation Service (MicrosoftCopilotElevationService)"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"midisrv","Windows MIDI Service"
"mpssvc","Windows Defender Firewall"
"MSDTC","Distributed Transaction Coordinator"
"MSiSCSI","Microsoft iSCSI Initiator Service"
"msiserver","Windows Installer"
"MsKeyboardFilter","Microsoft Keyboard Filter"
"NaturalAuthentication","Natural Authentication"
"NcaSvc","Network Connectivity Assistant"
"NcbService","Network Connection Broker"
"NcdAutoSetup","Network Connected Devices Auto-Setup"
"Netlogon","Netlogon"
"Netman","Network Connections"
"netprofm","Network List Service"
"NetSetupSvc","Network Setup Service"
"NetTcpPortSharing","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","Microsoft Passport Container"
"NgcSvc","Microsoft Passport"
"NlaSvc","Network Location Awareness"
"NPSMSvc_476e025b","Now Playing Session Manager Service_476e025b"
"nsi","Network Store Interface Service"
"nvagent","Network Virtualization Service"
"OneDrive Updater Service","OneDrive Updater Service"
"OneSyncSvc_476e025b","Sync Host_476e025b"
"P9RdrService_476e025b","P9RdrService_476e025b"
"PcaSvc","Program Compatibility Assistant Service"
"PCManager Service Store","Microsoft PC Manager Service"
"PeerDistSvc","BranchCache"
"PenService_476e025b","PenService_476e025b"
"perceptionsimulation","Windows Perception Simulation Service"
"PerfHost","Performance Counter DLL Host"
"PhoneSvc","Phone Service"
"PIEServiceNew","Intel? PROSet/Wireless Service"
"PimIndexMaintenanceSvc_476e025b","Contact Data_476e025b"
"pla","Performance Logs & Alerts"
"PlugPlay","Plug and Play"
"PolicyAgent","IPsec Policy Agent"
"Power","Power"
"PrintDeviceConfigurationService","Print Device Configuration Service"
"PrintNotify","Printer Extensions and Notifications"
"PrintScanBrokerService","PrintScanBrokerService"
"PrintWorkflowUserSvc_476e025b","PrintWorkflow_476e025b"
"ProfSvc","User Profile Service"
"PushToInstall","Windows PushToInstall Service"
"QWAVE","Quality Windows Audio Video Experience"
"RasAuto","Remote Access Auto Connection Manager"
"RasMan","Remote Access Connection Manager"
"refsdedupsvc","ReFS Dedup Service"
"RemoteAccess","Routing and Remote Access"
"RemoteRegistry","Remote Registry"
"RetailDemo","Retail Demo Service"
"RichVideo64","Cyberlink RichVideo64 Service(CRVS)"
"RmSvc","Radio Management Service"
"RpcEptMapper","RPC Endpoint Mapper"
"RpcLocator","Remote Procedure Call (RPC) Locator"
"RpcSs","Remote Procedure Call (RPC)"
"RtkAudioUniversalService","Realtek Audio Universal Service"
"SamSs","Security Accounts Manager"
"SamsungQuickShareService","Quick Share"
"SCardSvr","Smart Card"
"ScDeviceEnum","Smart Card Device Enumeration Service"
"Schedule","Task Scheduler"
"SCPolicySvc","Smart Card Removal Policy"
"SDRSVC","Windows Backup"
"seclogon","Secondary Logon"
"SecurityHealthService","Windows Security Service"
"SEMgrSvc","Payments and NFC/SE Manager"
"SENS","System Event Notification Service"
"Sense","Windows Defender Advanced Threat Protection Service"
"SensorDataService","Sensor Data Service"
"SensorService","Sensor Service"
"SensrSvc","Sensor Monitoring Service"
"SessionEnv","Remote Desktop Configuration"
